Time	Speed
s*1e-6	m/s
4020846	0.015
4030863	0.015
4040879	0.015
4050882	0.015
4060869	0.015
4070851	0.015
4080840	0.015
4090954	0.015
4100830	0.02
4110954	0.015
4120857	0.02
4130843	0.02
4140847	0.015
4150885	0.015
4160836	0.02
4170829	0.02
4180822	0.02
4190864	0.015
4200865	0.015
4210847	0.02
4220838	0.02
4230830	0.015
4240835	0.02
4267564	0.015
4267688	0.015
4270834	0.015
4280834	0.015
4290874	0.015
4300816	0.015
4311078	0.015
4320859	0.015
4330873	0.02
4340857	0.02
4350845	0.02
4360824	0.015
4370821	0.015
4380828	0.02
4390859	0.02
4400824	0.015
4410837	0.015
4420810	0.015
4430864	0.015
4440823	0.015
4450862	0.015
4460843	0.015
4470829	0.015
4480806	0.015
4490854	0.02
4500801	0.02
4510869	0.015
4520805	0.015
4530835	0.02
4540833	0.015
4550851	0.015
4560823	0.015
4570826	0.015
4580828	0.015
4590852	0.015
4600822	0.015
4610850	0.015
4620828	0.02
4630828	0.02
4640824	0.015
4650829	0.02
4660826	0.02
4670810	0.015
4680827	0.015
4690879	0.02
4700796	0.015
4710940	0.015
4720883	0.015
4730819	0.015
4740827	0.015
4750841	0.02
4760957	0.015
4770805	0.015
4793198	0.015
4793393	0.02
4800799	0.015
4810853	0.02
4820830	0.02
4830843	0.02
4840817	0.015
4850848	0.015
4860800	0.02
4870817	0.015
4880825	0.015
4890864	0.015
4900802	0.015
4910872	0.015
4920835	0.015
4930834	0.02
4940816	0.02
4950855	0.015
4960822	0.015
4970802	0.015
4980826	0.015
4990846	0.02
5000778	0.015
5010826	0.02
5020893	0.015
5030803	0.02
5040815	0.015
5050848	0.015
5060818	0.02
5070806	0.015
5080819	0.015
5090853	0.02
5100793	0.02
5110824	0.02
5120793	0.015
5130823	0.015
5140812	0.015
5150814	0.02
5160815	0.02
5170808	0.02
5180804	0.02
5190883	0.02
5200785	0.015
5211001	0.015
5220856	0.02
5230805	0.015
5240790	0.015
5250810	0.015
5260774	0.015
5270800	0.015
5280788	0.015
5290827	0.015
5300788	0.015
5310838	0.02
5320820	0.015
5330824	0.015
5340853	0.015
5350849	0.015
5360825	0.015
5370802	0.015
5380805	0.015
5390841	0.02
5400784	0.015
5410829	0.02
5420819	0.015
5430793	0.02
5440820	0.015
5450866	0.015
5460776	0.02
5470777	0.02
5480827	0.02
5490930	0.02
5500791	0.02
5510810	0.02
5520813	0.02
5530783	0.02
5540798	0.015
5550826	0.015
5560797	0.015
5570783	0.02
5580809	0.02
5590829	0.015
5600780	0.015
5610821	0.015
5620873	0.015
5630828	0.015
5640796	0.015
5650966	0.015
5660844	0.02
5670782	0.02
5680778	0.015
5690828	0.015
5700788	0.02
5710850	0.015
5720778	0.015
5730785	0.015
5740791	0.02
5750814	0.015
5760838	0.015
5770775	0.015
5780766	0.02
5790844	0.02
5800791	0.015
5810827	0.015
5820847	0.015
5830796	0.015
5840830	0.015
5850799	0.015
5860771	0.015
5870803	0.015
5880788	0.015
5890845	0.02
5900802	0.015
5910810	0.015
5920830	0.015
5930804	0.015
5940785	0.02
5950818	0.02
5960770	0.015
5970771	0.02
5980768	0.015
5990870	0.015
6000761	0.015
6010818	0.02
6020830	0.015
6030816	0.02
6040788	0.015
6050769	0.02
6060778	0.015
6070759	0.015
6080752	0.015
6090778	0.015
6100780	0.015
6110810	0.015
6120856	0.015
6130776	0.02
6140774	0.02
6150834	0.015
6160760	0.015
6170761	0.02
6180743	0.015
6190842	0.015
6200750	0.02
6210773	0.015
6220791	0.015
6230793	0.015
6240796	0.015
6250800	0.02
6260751	0.02
6270758	0.02
6280761	0.015
6290925	0.015
6300745	0.02
6310797	0.02
6320796	0.015
6330824	0.015
6340758	0.02
6350790	0.02
6360754	0.02
6370763	0.015
6380749	0.02
6390800	0.015
6400768	0.02
6410871	0.02
6420744	0.015
6430754	0.02
6440754	0.015
6450763	0.015
6460776	0.02
6470813	0.015
6480739	0.015
6490824	0.02
6500781	0.015
6510787	0.015
6520819	0.015
6530752	0.02
6540749	0.02
6550760	0.015
6560767	0.015
6570757	0.015
6580756	0.015
6590784	0.02
6600729	0.015
6610822	0.015
6620870	0.015
6630782	0.015
6640784	0.015
6650779	0.02
6660744	0.02
6670754	0.015
6680749	0.015
6690786	0.015
6700735	0.015
6710785	0.015
6720750	0.015
6730792	0.015
6740789	0.015
6750847	0.02
6760824	0.02
6770735	0.02
6780717	0.02
6790789	0.015
6800728	0.015
6810773	0.02
6820744	0.015
6830758	0.02
6840757	0.015
6850798	0.015
6860766	0.02
6870734	0.015
6880775	0.015
6890809	0.015
6900762	0.02
6910831	0.02
6920754	0.015
6930768	0.015
6940751	0.02
6950744	0.015
6960724	0.015
6970742	0.015
6980756	0.015
6990820	0.015
7000726	0.02
7010827	0.015
7020737	0.02
7030739	0.015
7040747	0.015
7050774	0.015
7060732	0.015
7070734	0.015
7080722	0.02
7090816	0.015
7100717	0.015
7110771	0.02
7120741	0.02
7130760	0.02
7140751	0.015
7150825	0.02
7160722	0.015
7170769	0.015
7180827	0.015
7190781	0.02
7200765	0.015
7211020	0.02
7220761	0.02
7230788	0.015
7240759	0.02
7250772	0.015
7260744	0.015
7270744	0.02
7280711	0.02
7290775	0.02
7300717	0.015
7310760	0.015
7320735	0.015
7330731	0.015
7340730	0.015
7350755	0.015
7360714	0.02
7370718	0.02
7380718	0.015
7390760	0.015
7400736	0.015
7410744	0.02
7420834	0.02
7430729	0.02
7445082	0.02
7450770	0.02
7460766	0.02
7470718	0.02
7480732	0.02
7490814	0.015
7500742	0.015
7510763	0.02
7520769	0.015
7530729	0.02
7540740	0.015
7550713	0.015
7560752	0.02
7570734	0.015
7580800	0.115
7590784	0.195
7600748	0.2
7610757	0.21
7620810	0.22
7630774	0.225
7640764	0.235
7650770	0.245
7660740	0.255
7670735	0.27
7680754	0.285
7690788	0.305
7700760	0.325
7710758	0.35
7720757	0.37
7730776	0.39
7740792	0.415
7750797	0.435
7760780	0.46
7770759	0.48
7780777	0.5
7790768	0.52
7800737	0.54
7810740	0.555
7820708	0.58
7830759	0.595
7840743	0.615
7850762	0.63
7860755	0.655
7870740	0.675
7880752	0.695
7890828	0.72
7900724	0.745
7910750	0.77
7920781	0.8
7930752	0.825
7940764	0.855
7950782	0.885
7960769	0.915
7970790	0.95
7985163	0.98
7990804	1.02
8000739	1.055
8010824	1.09
8020770	1.13
8030765	1.17
8040790	1.205
8051341	1.245
8060756	1.285
8070728	1.335
8080755	1.37
8090738	1.41
8100723	1.45
8110801	1.49
8120752	1.535
8130733	1.575
8140745	1.615
8150736	1.65
8160765	1.695
8170643	1.73
8180652	1.77
8190815	1.81
8200655	1.845
8210668	1.89
8220681	1.925
8230670	1.96
8250762	2.045
8260755	2.075
8270718	2.11
8280727	2.145
8290851	2.175
8300717	2.205
8310689	2.225
8320653	2.255
8330646	2.285
8340660	2.31
8350698	2.34
8360740	2.375
8370716	2.4
8380738	2.425
8390766	2.45
8400714	2.48
8410711	2.495
8420715	2.52
8430642	2.545
8440667	2.57
8450713	2.6
8460714	2.63
8470751	2.655
8480765	2.675
8490779	2.69
8500672	2.715
8520112	2.74
8520765	2.77
8530714	2.795
8540745	2.82
8550721	2.835
8560689	2.855
8570663	2.875
8580734	2.905
8590747	2.93
8600698	2.95
8610668	2.96
8620944	2.98
8630634	3.005
8640748	3.03
8650747	3.05
8660792	3.07
8670666	3.085
8680641	3.105
8690704	3.125
8700729	3.15
8710733	3.17
8720733	3.19
8730697	3.195
8740682	3.215
8750666	3.235
8760728	3.26
8770716	3.275
8780658	3.285
8790688	3.305
8800651	3.32
8810755	3.345
8820738	3.365
8830769	3.38
8840660	3.395
8850639	3.415
8860721	3.44
8870732	3.46
8880712	3.475
8890659	3.49
8900630	3.51
8910733	3.535
8920734	3.55
8930746	3.57
8940645	3.575
8950637	3.595
8960617	3.615
8970695	3.64
8980716	3.66
8990766	3.685
9000702	3.705
9010674	3.71
9020656	3.73
9030633	3.75
9045033	3.785
9050705	3.805
9060700	3.825
9070625	3.83
9080649	3.845
9090680	3.865
9100711	3.895
9110791	3.92
9120710	3.935
9130618	3.935
9140664	3.955
9150741	3.99
9160687	4.01
9170638	4.01
9180756	4.03
9190643	4.05
9200683	4.08
9210650	4.085
9220654	4.105
9230680	4.14
9240732	4.155
9250716	4.165
9260715	4.19
9270693	4.21
9280623	4.225
9290678	4.245
9300725	4.275
9310645	4.29
9320732	4.32
9330698	4.34
9340632	4.35
9350714	4.38
9360689	4.4
9370598	4.4
9380726	4.43
9390727	4.45
